nº ORDEN,DENOMINACIÓN,LOCALIDAD,PROVINCIA,FECHA DE CELEBRACIÓN DE LA FIESTA ,OBSERVACIONES
61,"CONCIERTOS DE ÓRGANO ""D.FRANCISCO NAVARRO PRETEL""",LIÉTOR,ALBACETE,FINAL DE MAYO,
62,FIESTAS DEL SANTO NIÑO,MAJAELRAYO,GUADALAJARA,Primer domingo de septiembre,Primer domingo septiembre
63,CARNAVAL,MALAGÓN,CIUDAD REAL,Fecha variable según calendario nacional,
64,ROMERÍA EN HONOR DE NTRA. SRA. DE LA NATIVIDAD,MÉNTRIDA,TOLEDO,24-27 de abril,
65,CARNAVAL,MIGUELTURRA,CIUDAD REAL,Fecha variable según calendario nacional,Fecha variable
66,FIESTA NTRA. SRA. DEL CARMEN,MOLINA DE ARAGÓN,GUADALAJARA,16 de julio,
67,FERIA  MEDIEVAL DEL VINO,MONTEARAGÓN ,TOLEDO,septiembre,
68,JORNADAS MEDIEVALES,MONTIEL,CIUDAD REAL,Fin de semana más próximo al 23 de marzo,Fin de semana próximo a 23 de marzo
69,FIESTA DEL OLIVO,MORA,TOLEDO,Último fin de semana de abril,Último domingo del mes de abril
70,FIESTA DE NTRA. SRA. DE LA ANTIGUA DE MANJAVACAS,MOTA DEL CUERVO,CUENCA,Fecha variable. A mediados de agosto,Siempre 1º Y 3º domingo de agosto
71,FUNCIÓN DE ÁNIMAS,MOTA DEL CUERVO,CUENCA,4º domingo anterior a Pentecostés. Fecha variable,
72,REPRESENTACIÓN TEATRAL DE LA PASIÓN Y MUERTE DE NTRO. SEÑOR JESUCRISTO,MOTILLA DEL PALANCAR,CUENCA,Fecha variable según calendario nacional,Sábado Santo
73,SEPTENARIO VIRGEN DE TEJEDA DE MOYA,MOYA,CUENCA,Cada 7 años. Del 16 al 26 de septiembre,
74,ROMERÍA DE LA MILAGRA,NAVAHERMOSA,TOLEDO,Tercer domingo de mayo,El tercer fin de semana de mayo
75,ENCUENTRO DE CUADRILLAS,NERPIO ,ALBACETE,febrero,febrero
76,SEMANA SANTA,OCAÑA,TOLEDO,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
77,FIESTA DE PRIMAVERA,ORGAZ,TOLEDO,último fin de semana de mayo,
78,JORNADAS MEDIEVALES,OROPESA,TOLEDO,mes de abril,"Mes de abril, no coincidiendo con Semana Santa"
79,LA FIESTA DEL MAYO MANCHEGO,PEDRO MUÑOZ,CIUDAD REAL,Del 30 de abril al 1 de mayo,
80,ROMERÍA DEL STMO. CRISTO DEL SAHÚCO,PEÑAS DE SAN PEDRO,ALBACETE,Primer domingo de mayo,Primer lunes de Pentecostés y 28 de agosto
81,FIESTA DE CRUCES Y MAYOS,PIEDRABUENA,CIUDAD REAL,Mes de mayo,mayo
82,CORPUS CHRISTI,PORZUNA,CIUDAD REAL,Fecha variable según calendario nacional,
83,SEMANA SANTA,POZO CAÑADA,ALBACETE,Fecha variable según calendario nacional,fecha variable según calendario litúrgico
84,FIESTA DEL SANTO VOTO,PUERTOLLANO,CIUDAD REAL,48 días después del domingo de Resurrección,45 días después del Domingo de Resurrección
85,SEMANA SANTA ,QUINTANAR DE LA ORDEN,TOLEDO,Fecha variable según calendario nacional.,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
86,FIESTA DE RUS,SAN CLEMENTE,CUENCA,Fecha variable según calendario nacional,Lunes de Pentecostés
87,FIESTA DE LA VACA,SAN PABLO DE LOS MONTES,TOLEDO,24 y 25 de enero,
88,ROMERÍA DE NTRA. SRA. DE LAS VIRTUDES ,SANTA CRUZ DE MUDELA,CIUDAD REAL,8 de septiembre,
89,FIESTA DE SAN ANTÓN,SANTA MARÍA DE LOS LLANOS,CUENCA,17 de enero,
90,LA PROCESIÓN DE LOS FAROLES,SIGÜENZA,GUADALAJARA,Domingo siguiente al 15 de agosto,Domingo siguiente a San Roque (16/08).
91,JORNADAS MEDIEVALES,SIGÜENZA,GUADALAJARA,2º fin de semana de julio,
91,SEMANA SANTA-LOS ARMAOS,SIGÜENZA,GUADALAJARA,Fecha variable según calendario  nacional,
92,FERIA DE TODOS LOS SANTOS,SOCUÉLLAMOS,CIUDAD REAL,1  de noviembre,
92,FIESTA DE LAS MONDAS,TALAVERA DE LA REINA,TOLEDO,Sábado posterior al Domingo de Resurrección. Fecha variable,Sábado siguiente a Semana Santa
93,SEMANA SANTA ,TALAVERA DE LA REINA,TOLEDO,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
94,PASIÓN VIVIENTE,TARANCÓN,CUENCA,Fecha variable según calendario nacional,Sábado de Gloria
95,SEMANA SANTA,TARANCÓN,CUENCA,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
96,CARNAVAL,TARAZONA DE LA MANCHA,ALBACETE,Fecha variable según calendario nacional,
97,FIESTAS PATRONALES DE SAN BARTOLOMÉ APÓSTOL,TARAZONA DE LA MANCHA,ALBACETE,24 de agosto,
98,FERIA DE LAS MERCADERÍAS,TENDILLA,GUADALAJARA,25-26 de febrero,Fin de semana más próximo al 24 de febrero
99,ROMERIA DE SAN ISIDRO,TERRINCHES,CIUDAD REAL,mes de mayo,
100,SEMANA SANTA,TOBARRA,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
101,CORPUS CHRISTI,TOLEDO,TOLEDO,Fecha variable según calendario nacional,Fecha variable
102,SEMANA SANTA ,TOLEDO,TOLEDO,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
103,ROMERÍA EN HONOR DE LA STMA. VIRGEN DE LAS VIÑAS,TOMELLOSO,CIUDAD REAL,Último fin de semana de abril,Último fin de semana de abril
104,CERTAMEN DE RONDAS TRADICIONALES NAVIDEÑAS,TORIJA,GUADALAJARA,23-31 de diciembre,
105,LA BORRICÁ,TORRENUEVA,CIUDAD REAL,Martes de carnaval. Fecha variable.,Martes de Carnaval
106,CRÓNICAS DEL  REY DON PEDRO I,TORRIJOS,TOLEDO,último  fin de semana de marzo,
107,ENCIERRO DE LA CHARCUELA,UCEDA,GUADALAJARA,17 de agosto,
108,STMO. CRISTO DE URDA,URDA,TOLEDO,29 de septiembre,Feria y fiestas: del 27 de septiembre al 1 de octubre
109,FIESTAS EN HONOR ALA VIRGEN DEL  ROSARIO,VALDEGANGA,ALBACETE,1er domingo de octubre,
110,STO. NIÑO PERDIDO Y LA BOTARGA,VALDENUÑO FERNÁNDEZ,GUADALAJARA,ENERO,
111,FIESTAS DE LA VENDIMIA,VALDEPEÑAS,CIUDAD REAL,Primera semana de septiembre,
112,CARNAVAL RELIGIOSO DE ÁNIMAS,VALDEVERDEJA,TOLEDO,FEBRERO,FEBRERO
113,JORNADAS ROMANAS,VALERIA,CUENCA,agosto,
114,FIESTA DE MOROS Y CRISTIANOS,VALVERDE DE JÚCAR,CUENCA,Del 5 al 10 de enero,
115,DANZAS DE LA OCTAVA DEL CORPUS,VALVERDE DE LOS ARROYOS,GUADALAJARA,Fecha variable según calendario nacional,Domingo siguiente al Corpus (la octava del Corpus)
116,RUTA DE LA PASIÓN DE CALATRAVA,"VARIOS MUNICIPIOS DE CIUDAD REAL: ALDEA DEL REY, ALMAGRO, BOLAÑOS DE CALATRAVA, CARRIÓN DE CTVA., GRANÁTULA DE CTVA., BALLESTEROS DE CTVA., POZUELO DE CTVA., MIGUELTURRA, TORRALBA DE CTVA. Y VALENZUELA DE CTVA..",CIUDAD REAL,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
117,FIESTA GANCHERA,"VARIOS MUNICIPIOS DEL ALTO TAJO: TARAVILLA, POVEDA DE LA SIERRA, PEÑALÉN, ZAOREJAS Y PERALEJOS DE LAS TRUCHAS",GUADALAJARA,Primer sábado de septiembre,Primer sábado de septiembre
118,BELÉN VIVIENTE,VEGA DEL CODORNO,CUENCA,Sábado anterior a Nochebuena,Último sábado anterior a Nochebuena
119,AUTO DE ADORACIÓN DE LOS REYES MAGOS,VIANOS,ALBACETE,5 de enero,el 5 de enero
120,DANZANTES Y STMO. CRISTO DE LA VIGA,VILLACAÑAS,TOLEDO,Del 27 de abril al 1 de mayo,
121,SEMANA SANTA,VILLACAÑAS,TOLEDO,Fecha variable según calendario nacional ,
122,FIESTA DE ÁNIMAS Y CARNAVAL,VILLAFRANCA DE LOS CABALLEROS,TOLEDO,Fecha variable según calendario nacional,Fin de semana anterior a Miércoles de Ceniza
123,FIESTAS Y ENCIERROS DE SAN MIGUEL ARCÁNGEL,VILLAMANRIQUE,CIUDAD REAL,29 de septiembre-3 de octubre,
124,FIESTAS DE MAYO,VILLAMAYOR DE CALATRAVA,CIUDAD REAL,30 de abril-3 de mayo,
125,FIESTA EN HONOR A LA VIRGEN DE LA PIEDAD,VILLANUEVA DE ALCARDETE,TOLEDO,Noviembre,
126,REPRESENTACIÓN DE LA PASIÓN DE CRISTO,VILLANUEVA DE BOGAS,TOLEDO,Fecha variable según calendario nacional,
127,FIESTA DEL CORPUS CHRISTI,VILLANUEVA DE LA FUENTE,CIUDAD REAL,Fecha variable según calendario nacional,Fecha variable: siempre domingo
128,CRUCES DE MAYO,VILLANUEVA DE LOS INFANTES,CIUDAD REAL,30 de abril-3 de mayo,
129,FIESTA DEL PIMIENTO,VILLANUEVA DE LOS INFANTES,CIUDAD REAL,1er fin de semana de septiembre,
130,SEMANA SANTA,VILLAROBLEDO,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
131,VIÑA ROCK,VILLAROBLEDO,ALBACETE,primer fin de semana de mayo,
132,CARNAVAL,VILLARROBLEDO,ALBACETE,Fecha variable según calendario nacional,Fecha variable
133,FERIA HELLIN,HELLIN,ALBACETE,última semana de sept-principio octubre,
133,SEMANA SANTA,VILLARRUBIA DE LOS OJOS,CIUDAD REAL,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
134,FIESTAS PATRONALES DEL SANTÍSIMO CRISTO DE CALVARIO: PROCESIÓN DEL CRISTO Y TIRADA DE CORREPIÉS,MONDÉJAR,GUADALAJARA,mediados de septiembre,
134,FIESTA DE LAS PACES,VILLARTA DE SAN JUAN,CIUDAD REAL,23-26 de enero,
135,SEMANA SANTA,CEBOLLA,TOLEDO,Fecha variable según calendario nacional,
135,REPRESENTACIÓN DE LA PASIÓN DE CRISTO,VILLATOBAS,TOLEDO,domingo de ramos,
136,FIESTA EN HONOR A S. SEBASTIÁN,MADRIDEJOS,TOLEDO,20 de enero,
136,JORNADAS CALDERONIANAS,YEPES,TOLEDO,Fecha variable. En función del Corpus Christi,Segundo fin de semana de junio
137,SEMANA SANTA,NOVÉS,TOLEDO,Fecha variable según calendario nacional,
137,FERIA DE TRADICIONES POPULARES,YESTE,ALBACETE,20-22 de octubre,
138,FESTIVAL DUCAL,PASTRANA,GUADALAJARA,Tercer fin de semana de julio,
